,object_name
0,pencil
1,asp
2,office
3,painting
4,doormat
5,crake
6,hanger
7,auk
8,area
9,salmon
10,skillet
11,nozzle
12,leopard
13,nail
14,cord
15,shoe
16,lobster
17,casserole
18,lightbulb
19,cooler
20,wombat
21,monitor lizard
22,spray
23,cloth
24,mule
25,cucumber
26,cereal
27,treadmill
28,pig
29,gar
30,macaroni
31,polish
32,sea urchin
33,cellphone
34,termite
35,snow
36,fabric
37,dowitcher
38,lemur
39,club
40,grouse
41,mouse
42,television
43,remote
44,sheet
45,frigatebird
46,mackerel
47,lettuce
48,newt
49,shed
50,bunting
51,dress
52,bike
53,gull
54,barstool
55,patio
56,anole
57,recessed
58,answering
59,vas
60,duck
61,kestrel
62,foil
63,glue
64,carbon
65,tortoise
66,eagle
67,supply
68,pork
69,toucan
70,beef
71,printer
72,aardvark
73,puppy
74,control
75,rope
76,surge
77,jellyfish
78,mail
79,Chameleons
80,microwave
81,polar bear
82,boot
83,minnow
84,fax
85,condor
86,pong
87,oystercatcher
88,conditioner
89,dust
90,bulb
91,thrush
92,crab
93,oriole
94,mirror
95,tablet
96,bean
97,soft-shelled turtle
98,faucet
99,mattress
100,hose
101,strip
102,carp
103,chest
104,trash
105,alarm
106,buffalo
107,drill
108,giraffe
109,workbench
110,squirrel
111,tent
112,toad
113,blanket
114,candle
115,wallaby
116,rhinoceros
117,rail
118,washing
119,coral
120,body
121,sound
122,cat
123,seagull
124,dish
125,fish
126,sunfish
127,lizard
128,toaster
129,ceiling
130,sewing
131,gift
132,mashed
133,scissors
134,blackbird
135,crow
136,shower
137,potato
138,walleye
139,snake
140,dvd
141,garbage
142,silverware
143,brush
144,picture
145,sloth
146,rollerblade
147,jaguar
148,humidifier
149,carrot
150,bug
151,ipod
152,wash
153,knife
154,vegetable
155,telephone
156,cassowary
157,butter
158,ottoman
159,flop
160,sandpiper
161,baseball
162,drum
163,pad
164,bee
165,freezer
166,cover
167,artist
168,clothes
169,koala
170,toothpaste
171,grasshopper
172,bittern
173,piranha
174,computer
175,camping
176,monitor
177,sea cucumber
178,parrot
179,couch
180,cream
181,dinnerware
182,headboard
183,gazelle
184,center
185,screw
186,horse
187,snapping turtle
188,razor
189,flat
190,easel
191,bluebird
192,kneeling
193,goldfinch
194,tie
195,deodorant
196,cup
197,battery
198,lamprey
199,clipper
200,flamingo
201,reading
202,coyote
203,bath
204,bread
205,salamander
206,chandelier
207,porpoise
208,meadowlark
209,chinchilla
210,charadriiformes
211,scallop
212,game
213,waste
214,dishwasher
215,wrap
216,protein
217,shark
218,sea sponge
219,raven
220,willet
221,falcon
222,opossum
223,jawless fish
224,stereo
225,box
226,smartphone
227,planter
228,smoke
229,toilet
230,vulture
231,slow
232,notepad
233,nightstand
234,pool
235,barracuda
236,seat
237,make-up
238,lion
239,panther
240,action
241,shearwater
242,plate
243,measuring
244,laundry
245,fridge
246,sprinkler
247,cutting
248,loofah
249,perfume/cologne
250,yarn
251,juicer
252,grill
253,ball
254,elk
255,mouthwash
256,bluegill
257,blanked
258,ray
259,hake
260,swan
261,spaghetti
262,mockingbird
263,tern
264,charger
265,rug
266,iron
267,rain
268,marlin
269,rhea
270,cheetah
271,worm
272,bathtub
273,scarf
274,scrapbook
275,seed
276,beaver
277,doorknob
278,ferret
279,junco
280,nandu
281,light
282,peregrine falcon
283,grape
284,heater
285,gharials
286,stork
287,coat
288,blender
289,gardening
290,curling
291,cooker
292,penguin
293,figure
294,bowl
295,sheep
296,gerbil
297,soap
298,soup
299,cheese
300,tape
301,and
302,machine
303,picnic
304,box turtle
305,mat
306,warbler
307,wall
308,flea
309,juice
310,hand
311,umbrella
312,washcloth
313,laptop
314,stove
315,oven
316,cricket
317,petrel
318,pot
319,tuna
320,board
321,lorry
322,har
323,snail
324,tennis
325,propane
326,cooking
327,vase
328,quail
329,serval
330,cooky
331,protector
332,bag
333,saw
334,hummingbird
335,hyena
336,cockatiel
337,caracara
338,sea anemone
339,door
340,eel
341,key
342,cake
343,sunscreen
344,lovese
345,kitchen
346,floss
347,kite
348,leaf
349,plover
350,pin
351,makeup
352,spider
353,gyrfalcon
354,pollock
355,knick-knacks
356,seal
357,sailfish
358,calendar
359,peacock
360,notebook
361,hairspray
362,ibis
363,backyard
364,starling
365,opener
366,scented
367,parakeet
368,lamp
369,tuatara
370,cougar
371,weasel
372,fan
373,fulmar
374,stingray
375,clock
376,orca
377,crappie
378,card
379,mussel
380,coot
381,bear
382,herring
383,seashell
384,finch
385,sturgeon
386,bicycle
387,lynx
388,flounder
389,peanut
390,bed
391,teapot
392,chipmunk
393,frying
394,goose
395,gear
396,ladder
397,kiwi
398,puffin
399,cormorant
400,aluminum
401,sneaker
402,beach
403,caiman
404,stationery
405,processor
406,barbecue
407,utensil
408,wren
409,outdoor
410,clam
411,jump
412,ostrich
413,dehumidifier
414,kingfisher
415,ocelot
416,stew
417,kangaroo
418,kettle
419,album
420,macaw
421,soil
422,hammer
423,basket
424,sole
425,sauna
426,hot
427,copier
428,slug
429,photo
430,brownie
431,beetle
432,boxspring
433,stand
434,half
435,armchair
436,maker
437,paper
438,hippopotamus
439,ruler
440,armadillo
441,anteater
442,garden
443,colander
444,jelly
445,elephant
446,stilt
447,clip
448,sofa
449,yak
450,owl
451,guinea pig
452,gallinule
453,plug-in
454,hawk
455,hornet
456,backpack
457,furniture
458,moth
459,sardine
460,echidna
461,drawing
462,mower
463,flip
464,yoga
465,softener
466,partridge
467,power
468,chop
469,dragonfly
470,haddock
471,moose
472,gecko
473,bird
474,straightener
475,noodle
476,pillow
477,octopus
478,spoonbill
479,blower
480,envelope
481,flower
482,albatross
483,dryer
484,chair
485,jacana
486,egret
487,tiger
488,woodpecker
489,milk
490,daily
491,table
492,pangolin
493,oyster
494,planner
495,pen
496,bearded dragon
497,bat
498,sketch
499,vehicle
500,anchovy
501,meatball
502,silverfish
503,storm-petrel
504,bin
505,extension
506,alcid
507,keyboard
508,impala
509,stovetop
510,detector
511,skateboard
512,mug
513,bobcat
514,rat
515,house cats
516,green
517,pelican
518,detergent
519,wooden
520,file
521,squid
522,drinking
523,basketball
524,golf
525,mixer
526,artwork
527,doll
528,crock
529,decor
530,celery
531,recycling
532,otter
533,hockey
534,canvas
535,camel
536,phone
537,food
538,ice
539,sunglass
540,carpet
541,blind
542,home
543,can
544,floor
545,harrier
546,paint
547,orange
548,tub
549,perch
550,wolverine
551,goldfish
552,zebra
553,crayon
554,crocodile
555,console
556,glove
557,marker
558,skink
559,locust
560,spoon
561,ping
562,chili
563,tropicbird
564,pan
565,cleaner
566,sink
567,vacuum
568,merlin
569,hair
570,deck
571,knitting
572,fly
573,donkey
574,toothbrush
575,bobby
576,entertainment
577,hairbrush
578,wolf
579,booby
580,deer
581,ant
582,magazine
583,corn
584,disposal
585,cicada
586,dresser
587,damselfly
588,iguana
589,terrapin
590,record
591,broom
592,lark
593,cell
594,buzzard
595,cd
596,comforter
597,cleaning
598,powder
599,robin
600,washer
601,bookcase
602,shrimp
603,bookshelf
604,gaming
605,pufferfish
606,book
607,turtle
608,starfish
609,perfume
610,calculator
611,player
612,whale
613,Komodo dragons
614,décor
615,emu
616,stapler
617,sleeping
618,wheelbarrow
619,pendant
620,watering
621,kit
622,chameleon
623,rabbit
624,apple
625,foosball
626,pheasant
627,lawn
628,dustpan
629,clothesline
630,fireplace
631,cockatoo
632,cockroach
633,baking
634,stool
635,cordless
636,monkey
637,air
638,tomato
639,pressure
640,end
641,wasp
642,toy
643,scanner
644,boxing
645,wallet
646,coffee
647,exercise
648,tea
649,goat
650,dove
651,mop
652,pike
653,video
654,turnstone
655,equipment
656,catfish
657,plant
658,shag
659,shaving
660,frog
661,throw
662,hat
663,badger
664,osprey
665,gannet
666,agenda
667,desk
668,window
669,raccoon
670,trout
671,crane
672,plastic
673,needle
674,turkey
675,pilate
676,ager
677,eider
678,sand dollar
679,system
680,refrigerator
681,curler
682,racket
683,fertilizer
684,frame
685,banana
686,lock
687,spatula
688,sandal
689,lighting
690,hagfish
691,walrus
692,pie
693,automobile
694,tupperware
695,sponge
696,shelf
697,chicken
698,hedgehog
699,curtain
700,glassware
701,alligator
702,glass
703,tool
704,monoxide
705,bucket
706,swordfish
707,freshener
708,shampoo
709,hamster
710,tilapia
711,bass
712,love
713,bison
714,skunk
715,antelope
716,mitt
717,lotion
718,cardinal
719,fox
720,heron
721,purse
722,ape
723,mosquito
724,cow
725,plunger
726,dolphin
727,indoor
728,avocet
729,cod
730,stationary
731,fork
732,towel
733,swimsuit
734,canary
735,sparrow
736,weight
737,rack
738,porcupine
739,Komodo dragon
